,director,count,mean_imdb_rating
0,Aamir Khan,1,8.4
1,Adam Elliot,1,8.1
2,Akira Kurosawa,6,8.317
3,Alejandro G. Iñárritu(as Alejandro González Iñárritu),1,8.1
4,Alfred Hitchcock,6,8.3
5,Andrei Tarkovsky,1,8.2
6,Andrei Tarkovsky(as Andrey Tarkovskiy),1,8.1
7,Andrew Stanton,2,8.25
8,Anthony Russo,2,8.4
9,Anurag Kashyap,1,8.2
10,Asghar Farhadi,1,8.3
11,Billy Wilder,5,8.32
12,Bob Persichetti,1,8.4
13,Bong Joon Ho,2,8.35
14,Brian De Palma,1,8.3
15,Bryan Singer,1,8.5
16,Buster Keaton,1,8.2
17,Carl Theodor Dreyer(as Carl Th. Dreyer),1,8.1
18,Carol Reed,1,8.1
19,Chan-wook Park,2,8.25
20,Charles Chaplin,3,8.367
21,Charles Chaplin(as Charlie Chaplin),2,8.4
22,Christopher Nolan,7,8.557
23,Clint Eastwood,3,8.133
24,Clyde Bruckman,1,8.1
25,Curtis Hanson,1,8.2
26,Céline Sciamma,1,8.1
27,Damien Chazelle,1,8.5
28,Damián Szifron,1,8.1
29,Danny Boyle,1,8.1
30,Darren Aronofsky,1,8.3
31,David Fincher,3,8.5
32,David Lean,2,8.2
33,David Lynch,1,8.1
34,David Yates,1,8.1
35,Dean DeBlois,1,8.1
36,Denis Villeneuve,2,8.2
37,Elem Klimov(as E. Klimov),1,8.3
38,Elia Kazan,1,8.1
39,Emir Kusturica,1,8.2
40,Ernst Lubitsch,1,8.2
41,Ethan Coen,1,8.1
42,Fernando Meirelles,1,8.6
43,Florian Henckel von Donnersmarck,1,8.4
44,Francis Ford Coppola,2,9.1
45,Francis Ford Coppola(as Francis Coppola),1,8.4
46,Frank Capra,3,8.267
47,Frank Darabont,2,8.95
48,François Truffaut,1,8.1
49,Fritz Lang,2,8.3
50,Gavin O'Connor,1,8.2
51,Gayatri,1,8.4
52,George Lucas,1,8.6
53,George Miller,1,8.1
54,George Roy Hill,1,8.3
55,Gillo Pontecorvo,1,8.1
56,Giuseppe Tornatore,1,8.5
57,Guillermo del Toro,1,8.2
58,Gus Van Sant,1,8.3
59,Guy Ritchie,2,8.25
60,Hayao Miyazaki,5,8.3
61,Henri-Georges Clouzot,1,8.1
62,Hrishikesh Mukherjee,1,8.4
63,Ingmar Bergman,5,8.16
64,Irvin Kershner,1,8.7
65,Isao Takahata,1,8.5
66,James Cameron,2,8.4
67,James Mangold,2,8.1
68,James McTeigue,1,8.2
69,Jean-Pierre Jeunet,1,8.3
70,Jim Sheridan,1,8.1
71,Joel Coen,2,8.1
72,John Carpenter,1,8.1
73,John G. Avildsen,1,8.1
74,John Huston,1,8.2
75,John Lasseter,1,8.3
76,John McTiernan,1,8.2
77,John Sturges,1,8.2
78,Jonathan Demme,1,8.6
79,Joseph L. Mankiewicz,1,8.2
80,Juan José Campanella,1,8.2
81,Jules Dassin,1,8.2
82,Kar-Wai Wong,1,8.1
83,Lana Wachowski(as The Wachowski Brothers),1,8.7
84,Lasse Hallström,1,8.1
85,Lee Unkrich,2,8.35
86,Lenny Abrahamson,1,8.1
87,Luc Besson,1,8.5
88,M. Night Shyamalan,1,8.1
89,Majid Majidi,1,8.3
90,Makoto Shinkai,1,8.4
91,Martin McDonagh,1,8.2
92,Martin Scorsese,7,8.329
93,Masaki Kobayashi,1,8.6
94,Mathieu Kassovitz,1,8.1
95,Mel Gibson,2,8.2
96,Michael Cimino,1,8.1
97,Michael Curtiz,1,8.5
98,Michael Mann,1,8.2
99,Michel Gondry,1,8.3
100,Milos Forman,2,8.5
101,Nadine Labaki,1,8.4
102,Nishikant Kamat,1,8.2
103,Nitesh Tiwari,1,8.4
104,Oliver Hirschbiegel,1,8.2
105,Oliver Stone,1,8.1
106,Olivier Nakache,1,8.5
107,Oriol Paulo,1,8.1
108,Orson Welles,1,8.3
109,Paul Thomas Anderson,1,8.2
110,Pete Docter,4,8.15
111,Peter Farrelly,1,8.2
112,Peter Jackson,3,8.8
113,Peter Weir,2,8.1
114,Quentin Tarantino,5,8.4
115,Rajkumar Hirani,1,8.4
116,Rakeysh Omprakash Mehra(as Rakesh Omprakash Mehra),1,8.2
117,Richard Linklater,2,8.1
118,Richard Marquand,1,8.3
119,Ridley Scott,3,8.333
120,Rob Reiner,2,8.05
121,Robert Mulligan,1,8.2
122,Robert Zemeckis,2,8.65
123,Roberto Benigni,1,8.6
124,Roger Allers,1,8.5
125,Roman Polanski,2,8.3
126,Ron Howard,2,8.15
127,Sam Mendes,2,8.3
128,Sean Penn,1,8.1
129,Sergio Leone,4,8.5
130,Sergio Pablos,1,8.2
131,Sidney Lumet,2,8.55
132,Sriram Raghavan,1,8.3
133,Stanley Donen,1,8.3
134,Stanley Kramer,1,8.2
135,Stanley Kubrick,7,8.314
136,Steve McQueen,1,8.1
137,Steven Spielberg,6,8.383
138,Stuart Rosenberg,1,8.1
139,Tate Taylor,1,8.0
140,Terry George,1,8.1
141,Terry Gilliam,1,8.2
142,Terry Jones,1,8.1
143,Thomas Kail,1,8.6
144,Thomas Vinterberg,1,8.3
145,Todd Phillips,1,8.5
146,Tom McCarthy,1,8.1
147,Tony Kaye,1,8.5
148,Victor Fleming,1,8.1
149,Vittorio De Sica,1,8.3
150,Wes Anderson,1,8.1
151,William Wyler,1,8.1
152,Wim Wenders,1,8.1
153,Wolfgang Petersen,1,8.3
154,Yasujirô Ozu,1,8.2
155,Yavuz Turgul,1,8.2
156,Zaza Urushadze,1,8.2
157,Çagan Irmak,1,8.3
