,decade,mean_budget,mean_gross_worldwide,mean_gross_usa,mean_opening_week_usa
0,1920,1320500.0,237570.0,372569.6666666667,4299.0
1,1930,1533666.6666666667,66810076.5,33535940.166666668,221138.66666666666
2,1940,1231798.9,2446442.0,1546052.0,40852.1
3,1950,7180506.434782608,6542498.043478261,6488613.826086956,33188.739130434784
4,1960,2967052.611111111,12168406.0,11825776.222222222,38955.333333333336
5,1970,7078398.684210527,96352062.78947368,72125021.36842105,315170.5263157895
6,1980,16015400.0,113827188.66666667,69407571.46666667,3630979.433333333
7,1990,93526410.25641026,236654500.23076922,100222669.05128205,9969972.692307692
8,2000,54777446.80851064,250243072.61702126,98142192.74468085,18337779.723404255
9,2010,296255000.0,397478483.1,131504354.7,37033170.36
10,2020,0.0,16250000.0,0.0,0.0
