,production_co,count,mean_imdb_rating
1,5000 Broadway Productions,1,8.6
2,8,1,8.1
3,A Band Apart,2,8.5
4,AKFPL,1,8.2
5,Act III,1,8.1
6,Alfran Productions,1,9.2
7,Alpha,1,8.2
8,Amblin Entertainment,3,8.5
9,Anonymous Content,1,8.3
10,Appian Way,1,8.2
11,Argos Films,1,8.1
12,Art Linson Productions,1,8.1
13,Arte France Cinéma,1,8.1
14,Arturo González Producciones Cinematográficas,2,8.55
15,Atresmedia Cine,1,8.2
16,Aurora,1,8.1
17,Bayerischer Rundfunk (BR),1,8.4
18,Blumhouse Productions,1,8.5
19,Brandywine Productions,1,8.3
20,Brentwood Productions,1,8.2
21,Buttercup Films Ltd.,1,8.0
22,CJ E&M Film Financing & Investment Entertainment & Comics,1,8.6
23,CJ Entertainment,1,8.4
24,Canal+,1,8.1
25,Casbah Film,1,8.1
26,Castle Rock Entertainment,1,8.1
27,Cecchi Gori Group Tiger Cinematografica,1,8.6
28,Cedrus Invest Bank,1,8.4
29,Cinema '84,1,8.1
30,CoMix Wave Films,1,8.4
31,Cofinergie 6,1,8.1
32,Columbia Pictures,3,8.367
33,Cross Creek Pictures,2,8.1
34,DENTSU Music And Entertainment,1,8.2
35,Darkwoods Productions,1,8.6
36,Det Danske Filminstitut,1,8.3
37,Detour Filmproduction,1,8.1
38,Dog Eat Dog Productions Inc.,1,8.3
39,Double Nickel Entertainment,1,8.1
40,Dreamlab Films,1,8.3
41,Dreamworks Pictures,3,8.133
42,Figment Films,1,8.1
43,Film 4,2,8.15
44,Filma-Cass,1,8.2
45,Filmsonor,1,8.1
46,Filmédis,1,8.2
47,First Look Media,1,8.1
48,Georgian Film,1,8.2
49,Gordon Company,1,8.2
50,Haddock Films,1,8.2
51,Hawk Films,3,8.3
52,Herald Ace,1,8.2
53,Heritage Films,1,8.5
54,Heyday Films,1,8.1
55,Indian Paintbrush,1,8.1
56,Indusfilms,1,8.2
57,Inferno Distribution,1,8.1
58,Jason Roberts Productions,1,8.4
59,Jet Tone Production,1,8.1
60,Jinks/Cohen Company,1,8.3
61,Joseph M. Schenck Productions,1,8.1
62,Juno Pix,1,8.6
63,Kemp Company,1,8.1
64,Lakeshore Entertainment,1,8.1
65,Lawrence Bender Productions,1,8.3
66,Legendary Entertainment,3,8.733
67,Les Films Ariane,1,8.5
68,Les Films du Dauphin,1,8.5
69,Lions Gate Films,1,8.1
70,Ljubavny Film,1,8.2
71,Lucasfilm,2,8.3
72,Mad Hatter Entertainment,1,8.1
73,Malpaso Productions,1,8.2
74,Marvel Entertainment,1,8.1
75,Mercury Productions,1,8.3
76,Metro-Goldwyn-Mayer (MGM),1,8.1
77,Michael White Productions,1,8.2
78,Mimran Schur Pictures,1,8.2
79,Miramax,2,8.15
80,Moho Film,1,8.1
81,Mosfilm,1,8.3
82,Muhan Investment,1,8.1
83,New Regency Productions,3,8.367
84,Nibariki,1,8.4
85,Norddeutscher Rundfunk (NDR),1,8.2
86,One Production Company,1,8.4
87,Orion Pictures,1,8.6
88,PVR Pictures,1,8.4
89,Pacific Western,1,8.5
90,Paramount Pictures,1,8.6
91,Penthouse Video,1,8.1
92,Phoenix Pictures,1,8.2
93,Pixar Animation Studios,5,8.32
94,Plan B Entertainment,1,8.5
95,Polaris Productions,1,8.3
96,Produzioni De Sica,1,8.3
97,Python (Monty) Pictures,1,8.1
98,Rajkumar Theaters Private Limited,1,8.2
99,Reliance Entertainment,1,8.3
100,River Road Entertainment,1,8.1
101,SKA Films,1,8.3
102,San Marco,1,8.5
103,Savoy Pictures,1,8.5
104,Scott Rudin Productions,1,8.1
105,Shaw Brothers,1,8.1
106,Silver Screen Partners IV,1,8.1
107,Spelling Films International,1,8.5
108,Spyglass Entertainment,1,8.1
109,Stanley Kubrick Productions,2,8.3
110,Studio Ghibli,3,8.433
111,Svenska Filminstitutet (SFI),1,8.1
112,Syalis DA,1,8.2
113,Syncopy,1,8.2
114,Sédif Productions,1,8.1
115,TS Productions,1,8.3
116,TSG Entertainment,1,8.1
117,Team Todd,1,8.4
118,Ten Films,1,8.5
119,Tequila Gang,1,8.2
120,The Coppola Company,1,9.0
121,The Ladd Company,1,8.3
122,The Mirisch Corporation,1,8.2
123,The Saul Zaentz Company,1,8.3
124,The Steve Tisch Company,1,8.2
125,The Weinstein Company,1,8.3
126,The Wolper Organization,1,8.2
127,Think Studio,1,8.1
128,Thousand Words,1,8.3
129,Toho Company,2,8.3
130,Tokuma Shoten,1,8.1
131,Turman-Foster Company,1,8.1
132,Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov,1,8.1
133,Twentieth Century Fox,1,8.6
134,Twin Bros. Productions,1,8.3
135,UTV Motion Pictures,2,8.3
136,Union Générale Cinématographique (UGC),1,8.3
137,Universal Pictures,4,8.25
138,Viacom18 Motion Pictures,1,8.3
139,VideoFilmes,1,8.6
140,Village Roadshow Pictures,3,8.433
141,Virtual Studios,1,8.2
142,Vtoroe Tvorcheskoe Obedinenie,1,8.2
143,Walt Disney Animation Studios,1,8.5
144,Walt Disney Pictures,5,8.18
145,Warner Bros.,3,8.5
146,WingNut Films,3,8.8
147,Working Title Films,2,8.1
148,Y Not Studios,1,8.4
149,Zeta Film,1,8.1
150,Zoetrope Studios,1,8.4
